region, city_town, egm_numbers_as_at_31_december_2018, lga_name, expenditure_1_jul_18_31_dec_18, venue_name, ven_type, postcode, long, objectid, lat
"Metro","MORNINGTON",40,"Shire of Mornington Peninsula",979438,"KIRKPATRICKS HOTEL","Hotel",3931,145.0328064,393,-38.2181
"Metro","WANTIRNA",100,"City of Knox",4162570,"KNOX CLUB","Club",3152,145.2429962,394,-37.8535
"Metro","WANTIRNA SOUTH",73,"City of Knox",4292654,"KNOX TAVERN","Hotel",3152,145.2444,395,-37.8701
"Metro","ALTONA",61,"City of Hobsons Bay",1999826,"KOORINGAL GOLF CLUB","Club",3018,144.8119965,397,-37.8736
"Country","KORUMBURRA",16,"Shire of South Gippsland",748633,"KORUMBURRA HOTEL","Hotel",3950,145.822998,400,-38.4319
"Country","KYABRAM",53,"Shire of Campaspe",1571189,"KYABRAM CLUB","Club",3620,145.0410004,402,-36.3138
"Country","KYNETON",25,"Shire of Macedon Ranges",862359,"KYNETON BOWLING CLUB","Club",3444,144.4524994,403,-37.2497
"Country","KYNETON",28,"Shire of Macedon Ranges",1130751,"KYNETON RSL","Club",3444,144.4523926,404,-37.2515
"Country","LAKES ENTRANCE",63,"Shire of East Gippsland",2298506,"LAKES ENTRANCE BOWLS CLUB","Club",3909,147.9886932,407,-37.8779
"Country","LAKES ENTRANCE",35,"Shire of East Gippsland",928895,"LAKES ENTRANCE RSL","Club",3909,147.9808044,408,-37.8812
"Country","Sale",33,"Shire of Wellington",309914,"LAKESIDE CLUB","Club",3850,147.080307,409,-38.1118
"Metro","LALOR",36,"City of Whittlesea",1650509,"LALOR BOWLING CLUB","Club",3075,145.0218048,412,-37.6668
"Metro","LANGWARRIN",62,"City of Frankston",4625905,"LANGWARRIN HOTEL","Hotel",3910,145.1949005,414,-38.1513
"Country","LARA",40,"City of Greater Geelong",1494005,"LARA HOTEL","Hotel",3212,144.4140015,415,-38.0237
"Country","LARA",50,"City of Greater Geelong",996344,"LARA SPORTING CLUB","Club",3212,144.4138031,416,-38.0203
"Country","LEONGATHA",44,"Shire of South Gippsland",1415109,"LEONGATHA RSL","Club",3953,145.9452057,418,-38.4754
"Country","LEOPOLD",35,"City of Greater Geelong",1950742,"LEOPOLD SPORTSMANS CLUB","Club",3224,144.4658051,420,-38.1769
"Metro","ESSENDON",38,"City of Moonee Valley",2939502,"LINCOLNSHIRE ARMS HOTEL","Hotel",3040,144.9096985,422,-37.7445
"Metro","CHELSEA",49,"City of Kingston",2623860,"LONG BEACH HOTEL","Hotel",3196,145.1148987,425,-38.0508
"Country","NEWTOWN",60,"City of Greater Geelong",3309825,"LORD OF THE ISLES TAVERN","Hotel",3220,144.3495026,427,-38.1603
"Country","LORNE",10,"Shire of Surf Coast",245574,"LORNE HOTEL","Hotel",3232,143.9756927,428,-38.5431
"Metro","LOWER PLENTY",85,"City of Banyule",4966937,"LOWER PLENTY HOTEL","Hotel",3093,145.1087952,429,-37.7303
"Metro","LYNBROOK",55,"City of Casey",4793109,"LYNBROOK HOTEL","Hotel",3975,145.2514038,431,-38.0438
"Metro","MELTON",82,"Shire of Melton",6422182,"MAC'S HOTEL (MELTON)","Hotel",3337,144.5802002,435,-37.6826
"Country","WARRNAMBOOL",31,"City of Warrnambool",1998951,"MAC'S HOTEL (WARRNAMBOOL)","Hotel",3280,142.4810944,436,-38.3782
"Country","MAFFRA",35,"Shire of Wellington",1587560,"MAFFRA COMMUNITY SPORTS CLUB","Club",3860,146.9779968,438,-37.9673
"Country","WANDONG",24,"Shire of Mitchell",626787,"MAGPIE AND STUMP HOTEL","Hotel",3758,145.0247955,439,-37.3557
"Metro","MELBOURNE",80,"City of Melbourne",5095509,"MAIL EXCHANGE HOTEL","Hotel",3000,144.953344,440,-37.816672
"Metro","MALVERN",30,"City of Stonnington",1660242,"MALVERN VALE CLUB HOTEL","Hotel",3144,145.0381927,445,-37.8541
"Metro","RINGWOOD",72,"City of Maroondah",4159251,"MANHATTAN HOTEL","Hotel",3134,145.2140961,446,-37.8309
"Metro","BULLEEN",90,"City of Manningham",2157841,"MANNINGHAM CLUB","Club",3105,145.0812988,447,-37.7775
"Country","MANSFIELD",40,"Shire of Mansfield",818880,"MANSFIELD GOLF CLUB","Club",3722,146.0769043,449,-37.061
"Metro","BRIGHTON",40,"City of Bayside",1497875,"MARINE HOTEL","Hotel",3186,144.9911041,451,-37.9132
"Metro","RINGWOOD EAST",44,"City of Maroondah",858246,"MAROONDAH SPORTS CLUB","Club",3135,145.2453003,454,-37.809
"Country","MARYBOROUGH",40,"Shire of Central Goldfields",1082057,"MARYBOROUGH GOLF CLUB","Club",3465,143.7424927,455,-37.0319
"Country","MARYBOROUGH",59,"Shire of Central Goldfields",2748099,"MARYBOROUGH HIGHLAND SOCIETY","Club",3465,143.733902,456,-37.0489
"Metro","CHADSTONE",75,"City of Monash",5460218,"MATTHEW FLINDERS TAVERNER","Hotel",3148,145.0924072,457,-37.8768
"Country","LEONGATHA",20,"Shire of South Gippsland",753754,"MCCARTINS HOTEL","Hotel",3953,145.9459991,458,-38.4767
"Metro","MCKINNON",45,"City of Glen Eira",1438061,"MCKINNON HOTEL","Hotel",3204,145.0424957,463,-37.9113
"Metro","FAWKNER",70,"City of Hume",5770314,"MEADOW INN HOTEL","Hotel",3060,144.9573059,464,-37.6902
"Metro","MELTON",90,"Shire of Melton",3139671,"MELTON COUNTRY CLUB","Club",3337,144.5924072,467,-37.6847
"Metro","MENTONE",25,"City of Kingston",411615,"MENTONE RSL","Club",3194,145.0662994,468,-37.9896
"Country","MERBEIN",20,"Rural City of Mildura",565722,"MERBEIN CITIZENS CLUB","Club",3505,142.0615997,470,-34.1833
"Metro","MELBOURNE",90,"City of Melbourne",7231279,"MERCURE GRAND HOTEL ON SWANSTON","Hotel",3000,144.9649963,471,-37.813
"Country","BALLARAT",32,"City of Ballarat",608056,"MIDLANDS GOLF CLUB","Club",3350,143.8558044,475,-37.5266
"Metro","BRIGHTON",48,"City of Bayside",1881628,"MILANO'S HOTEL","Hotel",3186,144.9877014,476,-37.9263
"Country","MILDURA",75,"Rural City of Mildura",6062381,"MILDURA GATEWAY TAVERN","Hotel",3500,142.1412964,477,-34.2114
"Country","MILDURA",20,"Rural City of Mildura",314066,"MILDURA GOLF CLUB","Club",3500,142.1376953,478,-34.1777
"Country","MILDURA",45,"Rural City of Mildura",2174771,"MILDURA RSL","Club",3500,142.1600037,479,-34.1896
"Country","MILDURA",67,"Rural City of Mildura",3624114,"MILDURA WORKING MANS SPORTS & SOCIAL CLUB","Club",3500,142.1611023,480,-34.1871
"Metro","ALTONA NORTH",70,"City of Hobsons Bay",6824899,"MILLERS INN HOTEL","Hotel",3025,144.8468933,482,-37.8353
"Metro","MITCHAM",60,"City of Whitehorse",3700814,"MITCHAM HOTEL","Hotel",3132,145.1940002,484,-37.8167
"Country","BAIRNSDALE",16,"Shire of East Gippsland",732521,"MITCHELL RIVER TAVERN","Hotel",3875,147.6345978,485,-37.8258
"Country","MOE",22,"City of Latrobe",783339,"MOE HOTEL","Hotel",3825,146.2619019,486,-38.1775
"Country","MOE",75,"City of Latrobe",3487105,"MOE RACING CLUB","Club",3825,146.2516937,487,-38.1761
"Country","MOE",45,"City of Latrobe",2080537,"MOE RSL CLUB","Club",3825,146.2626038,488,-38.1751
"Metro","CLAYTON",43,"City of Monash",3072262,"MONASH HOTEL","Hotel",3168,145.1376953,490,-37.9198
"Metro","MONBULK",30,"Shire of Yarra Ranges",926108,"MONBULK BOWLING CLUB","Club",3793,145.4095001,491,-37.874
"Metro","MONTMORENCY",50,"City of Banyule",961281,"MONTMORENCY RSL","Club",3094,145.1257019,492,-37.717
"Metro","MOONEE PONDS",104,"City of Moonee Valley",2185196,"MOONEE VALLEY RACING CLUB","Club",3039,144.9221954,493,-37.7658
"Country","MOOROOPNA",40,"City of Greater Shepparton",1268919,"MOOROOPNA GOLF CLUB","Club",3629,145.3600006,495,-36.3866
"Metro","MORDIALLOC",82,"City of Kingston",2934238,"MORDIALLOC SPORTING CLUB","Club",3195,145.0847931,496,-38.0053
"Metro","BRUNSWICK",70,"City of Moreland",4289086,"MORELAND HOTEL","Hotel",3056,144.9644012,497,-37.7557
"Metro","MORNINGTON",30,"Shire of Mornington Peninsula",1184932,"MORNINGTON ON TANTI HOTEL","Hotel",3931,145.0480957,498,-38.226
"Country","MORWELL",69,"City of Latrobe",2732511,"MORWELL BOWLING CLUB","Club",3840,146.3930054,499,-38.2419
"Country","MORWELL",35,"City of Latrobe",841723,"MORWELL CLUB","Club",3840,146.391098,500,-38.234
"Country","MORWELL",15,"City of Latrobe",921381,"MORWELL HOTEL","Hotel",3840,146.4100952,501,-38.2387
"Country","MORWELL",46,"City of Latrobe",1953720,"MORWELL RSL","Club",3840,146.3963928,502,-38.24
"Metro","CRANBOURNE",70,"City of Casey",5978050,"MOTOR CLUB HOTEL","Hotel",3977,145.283493,504,-38.1114
"Metro","GLEN WAVERLEY",62,"City of Monash",3978098,"MOUNTAIN VIEW HOTEL","Hotel",3150,145.1674042,508,-37.8739
"Metro","WHEELERS HILL",105,"City of Monash",5972802,"MULGRAVE COUNTRY CLUB","Club",3150,145.1853027,513,-37.921
"Metro","MOONEE PONDS",80,"City of Moonee Valley",2744174,"MVRC JUNCTION CLUB","Club",3039,144.925705,514,-37.7674
"Metro","OAKLEIGH",92,"City of Monash",3466671,"MVRC LEIGHOAK CLUB","Club",3166,145.0930023,515,-37.8931
"Country","MYRTLEFORD",40,"Shire of Alpine",507538,"MYRTLEFORD SAVOY SPORTING CLUB","Club",3737,146.7151031,516,-36.5545
"Country","NAGAMBIE",32,"Shire of Strathbogie",707272,"NAGAMBIE LAKES ENTERTAINMENT CENTRE","Club",3608,145.1533966,517,-36.7846
"Metro","Brighton",50,"City of Bayside",948719,"NEW BAY HOTEL","Hotel",3186,144.9927063,521,-37.9045
"Country","NEWBOROUGH",23,"City of Latrobe",470886,"NEWBOROUGH BOWLING CLUB","Club",3825,146.2996979,522,-38.182
"Metro","NEWMARKET",68,"City of Moonee Valley",5497407,"NEWMARKET TAVERN","Hotel",3031,144.9279938,524,-37.7873
"Metro","NOBLE PARK",50,"City of Greater Dandenong",3118241,"NOBLE PARK FOOTBALL SOCIAL CLUB","Club",3174,145.1681061,528,-37.9769
"Metro","NOBLE PARK",35,"City of Greater Dandenong",2079674,"NOBLE PARK RSL","Club",3174,145.1761017,529,-37.9656
"Country","NORLANE",84,"City of Greater Geelong",4041406,"NORLANE HOTEL","Hotel",3214,144.355896,531,-38.0985
"Country","BALLARAT",70,"City of Ballarat",2721637,"NORTH BALLARAT SPORTS CLUB","Club",3350,143.8491058,532,-37.5416
"Metro","BRUNSWICK",85,"City of Moreland",2268796,"NORTHCOTE PARK FOOTBALL CLUB","Club",3056,144.9602966,535,-37.7759
"Country","NUMURKAH",60,"Shire of Moira",1070066,"NUMURKAH GOLF & BOWLS CLUB","Club",3636,145.4398041,539,-36.0984
"Metro","OAKLEIGH",45,"City of Monash",2791977,"OAKLEIGH JUNCTION HOTEL","Hotel",3166,145.0877075,541,-37.8993
"Country","OCEAN GROVE",60,"City of Greater Geelong",2428986,"OCEAN GROVE BOWLING CLUB","Club",3226,144.5169067,543,-38.2659
"Metro","HEIDELBERG",93,"City of Banyule",5781357,"OLD ENGLAND HOTEL","Hotel",3084,145.0686951,545,-37.7581
"Metro","LILYDALE",47,"Shire of Yarra Ranges",1725946,"OLINDA CREEK HOTEL","Hotel",3140,145.3489075,546,-37.7569
"Metro","SUNBURY",43,"City of Hume",3065270,"OLIVE TREE HOTEL","Hotel",3429,144.7281036,547,-37.5818
"Metro","PRESTON",80,"City of Darebin",5379860,"OLYMPIC HOTEL","Hotel",3072,145.0214996,548,-37.7465
"Country","OUYEN",5,"Rural City of Mildura",204711,"OUYEN CLUB","Club",3490,142.3161011,552,-35.0698
"Metro","PAKENHAM",70,"Shire of Cardinia",3237113,"PAKENHAM HOTEL","Hotel",3810,145.4649048,555,-38.0638
"Metro","CAMBERWELL",40,"City of Boroondara",2286518,"PALACE HOTEL","Hotel",3124,145.0572968,557,-37.8262
"Metro","FITZROY NORTH",30,"City of Yarra",1489537,"PARKVIEW HOTEL","Hotel",3068,144.9835968,561,-37.783
"Metro","PASCOE VALE",47,"City of Moreland",1667654,"PASCOE VALE RSL","Club",3044,144.9382935,562,-37.7346
"Metro","PASCOE VALE",42,"City of Moreland",3094611,"PASCOE VALE TAVERNER HOTEL","Hotel",3044,144.9286041,564,-37.7295
"Metro","DROMANA",35,"Shire of Mornington Peninsula",992128,"PENINSULA CLUB","Club",3936,144.9656067,567,-38.3341
"Country","NEWCOMB",55,"City of Greater Geelong",3236179,"PENINSULA HOTEL MOTEL","Hotel",3219,144.4062042,568,-38.1736
"Country","KIALLA",20,"City of Greater Shepparton",820246,"PEPPERMILL INN HOTEL MOTEL","Hotel",3631,145.394104,569,-36.4198
"Country","COWES",58,"Shire of Bass Coast",3241877,"PHILLIP ISLAND RSL","Club",3922,145.2398987,571,-38.463
"Country","GEELONG",28,"City of Greater Geelong",1613179,"PHOENIX HOTEL","Hotel",3220,144.3616028,572,-38.1462
"Metro","FRANKSTON",58,"City of Frankston",3100986,"PIER HOTEL","Hotel",3199,145.1199036,573,-38.1449
"Country","WANGARATTA",44,"Rural City of Wangaratta",1849383,"PINSENT HOTEL","Hotel",3677,146.3278046,575,-36.3558
"Metro","DANDENONG",25,"City of Greater Dandenong",1860124,"PLAYERS HOTEL","Hotel",3175,145.2131042,577,-37.9864
"Metro","CARLTON",66,"City of Melbourne",3505022,"PLAYERS ON LYGON","Hotel",3053,144.9669952,578,-37.8024
"Metro","MILL PARK",100,"City of Whittlesea",10294317,"PLOUGH HOTEL","Hotel",3082,145.0608063,579,-37.6668
"Country","BREAKWATER",35,"City of Greater Geelong",935807,"POLISH COMMUNITY ASSOC IN GEELONG","Club",3219,144.378006,582,-38.1809
"Country","PORTARLINGTON",65,"City of Greater Geelong",2107370,"PORTARLINGTON GOLF CLUB","Club",3223,144.670105,585,-38.1238
"Country","PORTLAND",25,"Shire of Glenelg",736776,"PORTLAND FOOTBALL NETBALL CRICKET CLUB","Club",3305,141.5993042,586,-38.3451
"Country","PORTLAND",40,"Shire of Glenelg",685764,"PORTLAND RSL MEMORIAL BOWLING CLUB","Club",3305,141.6060944,587,-38.3594
"Metro","FOOTSCRAY",47,"City of Maribyrnong",2295859,"POWELL HOTEL","Hotel",3011,144.8892059,589,-37.7906
"Metro","PRAHRAN",81,"City of Stonnington",2514800,"PRAHRAN FOOTBALL SOCIAL CLUB","Club",3181,144.9927979,590,-37.8489
"Metro","PRESTON",40,"City of Darebin",2425740,"PRESTON HOTEL","Hotel",3072,145.0043945,592,-37.7332
"Metro","DOVETON",79,"City of Casey",6501665,"PRINCE MARK HOTEL","Hotel",3177,145.2342072,594,-38.0005
"Metro","COLLINGWOOD",20,"City of Yarra",942803,"PUNTERS PALACE","Hotel",3066,144.9844055,596,-37.7997
"Country","QUEENSCLIFF",30,"Borough of Queenscliffe",633010,"QUEENSCLIFF BOWLING TENNIS AND CROQUET CLUB","Club",3225,144.656601,600,-38.2719
"Metro","MALVERN EAST",40,"City of Stonnington",1136148,"RACECOURSE HOTEL (MALVERN EAST)","Hotel",3145,145.0455933,602,-37.8758
"Metro","WERRIBEE",52,"City of Wyndham",2435397,"RACECOURSE HOTEL (WERRIBEE)","Hotel",3030,144.6528931,603,-37.9017
"Country","WARRNAMBOOL",19,"City of Warrnambool",729953,"RAFFERTY'S TAVERN","Hotel",3280,142.4600067,604,-38.3651
"Country","SEYMOUR",33,"Shire of Mitchell",1877307,"RAILWAY CLUB HOTEL","Hotel",3660,145.1378937,606,-37.0239
"Country","RED CLIFFS",34,"Rural City of Mildura",1513627,"RED CLIFFS CLUB","Club",3496,142.1876984,617,-34.3046
"Country","BALLARAT",54,"City of Ballarat",1902790,"RED LION HOTEL","Hotel",3350,143.8701019,618,-37.5689
"Metro","RESERVOIR",68,"City of Darebin",2366789,"RESERVOIR RSL","Club",3073,145.0057983,620,-37.7173
"Metro","WILLIAMSTOWN",40,"City of Hobsons Bay",1549159,"RIFLE CLUB HOTEL","Hotel",3016,144.8887939,623,-37.8581
"Metro","RINGWOOD",70,"City of Maroondah",2146180,"RINGWOOD RSL","Club",3134,145.2285004,624,-37.8168
"Country","BENDIGO",35,"City of Greater Bendigo",1866330,"RISING SUN HOTEL","Hotel",3550,144.2828064,627,-36.7502
"Metro","HAWTHORN",42,"City of Boroondara",2581552,"RIVERSDALE HOTEL","Hotel",3122,145.0437927,629,-37.8301
"Metro","SEAFORD",40,"City of Frankston",1941407,"RIVIERA HOTEL","Hotel",3198,145.1235046,630,-38.0888
"Country","BALLARAT",20,"City of Ballarat",539733,"ROBIN HOOD HOTEL","Hotel",3350,143.8636932,631,-37.5613
"Country","ROBINVALE",68,"Rural City of Swan Hill",1434000,"ROBINVALE GOLF CLUB","Club",3549,142.7798004,632,-34.6013
"Metro","EAST RESERVOIR",44,"City of Darebin",2719759,"ROSE SHAMROCK & THISTLE HOTEL","Hotel",3073,145.0166931,635,-37.7291
"Metro","ROSEBUD",40,"Shire of Mornington Peninsula",725263,"ROSEBUD COUNTRY CLUB","Club",3939,144.8993988,636,-38.3788
"Metro","ROSEBUD",70,"Shire of Mornington Peninsula",5740678,"ROSEBUD HOTEL","Hotel",3939,144.902298,637,-38.3567
"Metro","ROSEBUD",75,"Shire of Mornington Peninsula",2343131,"ROSEBUD RSL","Club",3939,144.9044952,638,-38.368
"Metro","CARNEGIE",103,"City of Glen Eira",8569866,"ROSSTOWN HOTEL","Hotel",3163,145.0576019,639,-37.8843
"Metro","ROXBURGH PARK",80,"City of Hume",8351035,"ROXBURGH PARK HOTEL","Hotel",3064,144.929306,640,-37.6415
"Country","TRARALGON",20,"City of Latrobe",1416703,"ROYAL EXCHANGE HOTEL","Hotel",3844,146.5355988,642,-38.1983
"Country","BENALLA",30,"Rural City of Benalla",1131407,"ROYAL HOTEL (BENALLA)","Hotel",3672,145.976593,645,-36.554
"Country","DAYLESFORD",18,"Shire of Hepburn",712965,"ROYAL HOTEL (DAYLESFORD)","Hotel",3460,144.1430969,646,-37.3418
"Metro","ESSENDON",60,"City of Moonee Valley",3758801,"ROYAL HOTEL (ESSENDON)","Hotel",3040,144.917099,647,-37.7556
"Metro","SUNBURY",31,"City of Hume",3214035,"ROYAL HOTEL (SUNBURY)","Hotel",3429,144.729599,648,-37.5802
"Metro","CHELTENHAM",76,"City of Kingston",4813271,"ROYAL OAK HOTEL","Hotel",3192,145.0641937,655,-37.9726
"Metro","RICHMOND",80,"City of Yarra",2245765,"ROYAL OAK RICHMOND","Club",3121,145.0084991,656,-37.8193
"Country","THORNTON",25,"Shire of Murrindindi",746916,"RUBICON HOTEL","Hotel",3712,145.7973938,658,-37.2555
"Metro","RYE",30,"Shire of Mornington Peninsula",1413081,"RYE HOTEL","Hotel",3941,144.8204956,661,-38.3703
"Metro","RYE",70,"Shire of Mornington Peninsula",2869805,"RYE RSL CLUB","Club",3941,144.8231049,662,-38.3718
"Country","SALE",80,"Shire of Wellington",3163204,"SALE & DISTRICT GREYHOUND RACING CLUB","Club",3850,147.0641022,663,-38.0916
"Metro","POINT COOK",70,"City of Wyndham",5700962,"SANCTUARY LAKES HOTEL","Hotel",3030,144.7534943,665,-37.8942
"Metro","MOORABBIN",82,"City of Kingston",6049102,"SANDBELT CLUB HOTEL","Hotel",3189,145.0675049,667,-37.9384
"Metro","NOBLE PARK",76,"City of Greater Dandenong",5861528,"SANDOWN PARK HOTEL","Hotel",3174,145.1723938,668,-37.9491
"Metro","SANDRINGHAM",40,"City of Bayside",2374085,"SANDRINGHAM HOTEL","Hotel",3191,145.0032959,669,-37.9512
"Metro","CARRUM DOWNS",65,"City of Frankston",5320725,"SANDS TAVERNER","Hotel",3201,145.1840057,670,-38.1005
"Metro","SEAFORD",25,"City of Frankston",814310,"SEAFORD RSL","Club",3198,145.128006,672,-38.1029
"Metro","SEAFORD",94,"City of Frankston",7446120,"SEAFORD TAVERNER","Hotel",3198,145.1555023,673,-38.1127
"Metro","NEWPORT",66,"City of Hobsons Bay",3855136,"SEAGULLS NEST","Club",3015,144.8827057,674,-37.8432
"Country","SEBASTOPOL",50,"City of Ballarat",2644565,"SEBASTOPOL BOWLING CLUB","Club",3356,143.8415985,675,-37.6002
"Country","SEYMOUR",50,"Shire of Mitchell",2003724,"SEYMOUR CLUB","Club",3660,145.1325073,676,-37.0215
"Country","BENDIGO",60,"City of Greater Bendigo",2097710,"SHAMROCK HOTEL","Hotel",3550,144.281601,678,-36.7578
"Metro","MELBOURNE",48,"City of Melbourne",1879903,"SHANGHAI CLUB","Hotel",3000,144.9656067,680,-37.8121
"Country","CORIO",77,"City of Greater Geelong",3207804,"SHELL CLUB","Club",3214,144.3601074,681,-38.0725
"Country","SHEPPARTON",56,"City of Greater Shepparton",2262753,"SHEPPARTON CLUB","Club",3630,145.3995972,682,-36.3845
"Country","SHEPPARTON",80,"City of Greater Shepparton",3397831,"SHEPPARTON RSL","Club",3630,145.3999939,683,-36.3744
"Country","SHEPPARTON",43,"City of Greater Shepparton",2206064,"SHERBOURNE TERRACE","Hotel",3630,145.4008026,684,-36.3756
"Metro","DONCASTER",87,"City of Manningham",7521826,"SHOPPINGTOWN HOTEL","Hotel",3108,145.1237946,685,-37.7849
"Metro","HEIDELBERG",65,"City of Banyule",3666245,"SIR HENRY BARKLY HOTEL","Hotel",3084,145.0675049,687,-37.7558
"Metro","AIRPORT WEST",96,"City of Moonee Valley",9770404,"SKYWAYS TAVERNER","Hotel",3042,144.8880005,689,-37.7123
"Metro","SOMERVILLE",39,"Shire of Mornington Peninsula",2978851,"SOMERVILLE HOTEL","Hotel",3912,145.1744995,690,-38.2243
"Metro","BENTLEIGH EAST",40,"City of Glen Eira",536496,"SOUTH OAKLEIGH CLUB","Club",3165,145.0756073,693,-37.9313
"Country","NORTH GEELONG",67,"City of Greater Geelong",5160557,"SPHINX ENTERTAINMENT CENTRE","Hotel",3215,144.3421936,697,-38.1259
"Country","SALE",74,"Shire of Wellington",2810176,"SPORTING LEGENDS CLUB","Club",3850,147.0675049,700,-38.1045
"Country","WENDOUREE",35,"City of Ballarat",1317773,"SPORTSPARK GAMING AND ENTERTAINMENT CENTRE","Club",3355,143.8419037,701,-37.5285
"Metro","SPRINGVALE",55,"City of Greater Dandenong",2944204,"SPRINGVALE RSL CLUB","Club",3171,145.1459961,703,-37.9462
"Metro","ST ALBANS",50,"City of Brimbank",5523393,"ST ALBANS HOTEL","Hotel",3021,144.800293,705,-37.7464
"Metro","ST ALBANS",35,"City of Brimbank",2659255,"ST ALBANS SPORTS CLUB","Club",3021,144.7765961,706,-37.7326
"Country","ST ARNAUD",35,"Shire of Northern Grampians",764252,"ST ARNAUD SPORTING CLUB","Club",3478,143.2602997,707,-36.6102
"Country","GEELONG WEST",35,"City of Greater Geelong",1832900,"ST GEORGE WORKERS CLUB","Club",3218,144.3482056,708,-38.1425
"Metro","ST KILDA",53,"City of Port Phillip",1175789,"ST KILDA ARMY & NAVY CLUB","Club",3182,144.9790955,710,-37.8674
"Metro","MOORABBIN",83,"City of Kingston",1207749,"ST KILDA FOOTBALL SOCIAL CLUB","Club",3189,145.0431061,711,-37.9373
"Metro","ROWVILLE",85,"City of Knox",6206989,"STAMFORD HOTEL","Hotel",3178,145.2319946,713,-37.9267
"Country","SALE",23,"Shire of Wellington",1020130,"STAR HOTEL (SALE)","Hotel",3850,147.065506,715,-38.109
"Country","BRIGHT",18,"Shire of Alpine",529813,"STAR HOTEL BRIGHT","Hotel",3741,146.975296,716,-36.729
"Country","STAWELL",45,"Shire of Northern Grampians",1401351,"STAWELL HARNESS RACING CLUB","Club",3380,142.7868958,718,-37.0696
"Metro","MORNINGTON",85,"Shire of Mornington Peninsula",4840456,"STEEPLES","Club",3931,145.0673065,719,-38.2388
"Country","BACCHUS MARSH",40,"Shire of Moorabool",1767828,"STONEYS CLUB","Club",3340,144.4333954,720,-37.6831
"Metro","SYDENHAM",62,"Shire of Melton",4801099,"SUGAR GUM HOTEL","Hotel",3037,144.7431946,721,-37.6926
"Metro","RESERVOIR",88,"City of Darebin",6263989,"SUMMERHILL HOTEL","Hotel",3073,145.0265961,722,-37.7253
"Metro","SUNBURY",78,"City of Hume",2008845,"SUNBURY BOWLING CLUB","Club",3429,144.7225037,723,-37.572
"Metro","SUNBURY",38,"City of Hume",942302,"SUNBURY FOOTBALL SOCIAL CLUB","Club",3429,144.7210999,724,-37.5749
"Metro","SUNBURY",40,"City of Hume",1141320,"SUNBURY UNITED SPORTING CLUB","Club",3429,144.709198,725,-37.5861
"Metro","SUNSHINE",18,"City of Brimbank",322250,"SUNSHINE CITY CLUB","Club",3020,144.824295,726,-37.7791
"Metro","SUNSHINE",60,"City of Brimbank",2058885,"SUNSHINE RSL","Club",3020,144.8374939,728,-37.7871
"Country","SWAN HILL",42,"Rural City of Swan Hill",1044414,"SWAN HILL CLUB","Club",3585,143.5605011,729,-35.3389
"Country","SWAN HILL",35,"Rural City of Swan Hill",871121,"SWAN HILL RSL","Club",3585,143.561203,730,-35.3412
"Metro","CAMPBELLFIELD",75,"City of Hume",5521116,"SYLVANIA HOTEL","Hotel",3061,144.9524994,732,-37.6737
"Metro","MELTON SOUTH",80,"Shire of Melton",4356198,"TABCORP PARK","Club",3338,144.6006012,733,-37.6933
"Metro","FITZROY",49,"City of Yarra",2675249,"TANKERVILLE ARMS HOTEL","Hotel",3065,144.9750977,735,-37.7982
"Metro","TAYLORS LAKES",105,"City of Brimbank",8296102,"TAYLORS LAKES FAMILY HOTEL","Hotel",3038,144.7998047,738,-37.7023
"Metro","LOWER TEMPLESTOWE",50,"City of Manningham",3953963,"TEMPLESTOWE HOTEL","Hotel",3107,145.1172943,741,-37.7562
"Metro","HEALESVILLE",30,"Shire of Yarra Ranges",472875,"TERMINUS HOTEL","Hotel",3777,145.5096132,743,-37.65636766
"Metro","PORT MELBOURNE",29,"City of Port Phillip",1238565,"THE BAY & BRIDGE HOTEL","Hotel",3207,144.9443054,744,-37.8369
"Metro","ALBERT PARK",32,"City of Port Phillip",1148456,"THE BEACH","Hotel",3206,144.9488068,745,-37.8475
"Country","BENDIGO",60,"City of Greater Bendigo",1450889,"THE BENDIGO CLUB","Club",3550,144.3123932,747,-36.762
"Country","EAGLEHAWK",40,"City of Greater Bendigo",1595319,"THE BOROUGH CLUB","Club",3556,144.2519989,749,-36.7179
"Metro","MORDIALLOC",50,"City of Kingston",1730855,"THE BRIDGE HOTEL","Hotel",3195,145.0879974,750,-38.01
"Metro","POINT COOK",80,"City of Wyndham",3522673,"THE BROOK ON SNEYDES","Club",3030,144.7288971,751,-37.8979
"Metro","BRUNSWICK",43,"City of Moreland",972782,"THE BRUNSWICK CLUB","Club",3056,144.960907,752,-37.7725
"Metro","CAULFIELD",50,"City of Glen Eira",3004689,"The CAMDEN TOWN HOTEL","Hotel",3162,145.0211029,805,-37.8894
"Metro","FOREST HILL",90,"City of Whitehorse",7371808,"THE CHASE HOTEL","Hotel",3131,145.1647949,754,-37.8353
"Metro","CLAYTON",35,"City of Monash",3038130,"THE CLAYTON HOTEL","Hotel",3168,145.1195068,755,-37.9243
"Metro","CAROLINE SPRINGS",0,"Shire of Melton",4289054,"THE CLUB","Club",3023,144.7418976,756,-37.7559
"Metro","CAROLINE SPRINGS",66,"Shire of Melton",461580,"THE CLUB","Club",3023,144.7418976,756,-37.7559
"Metro","RINGWOOD",0,"City of Maroondah",1668830,"THE COACH AND HORSES","Club",3134,145.2176971,758,-37.8166
